"long","lat","name","popup","type"
8.560453,47.417563,"srf","<a href='http://www.srf.ch/news/srf-data'><span style='color: green; font-size:9pt'><strong>SRF Data</strong></span></a><br>Zürich<br>Leitung: Sylke Gruhnwald<br><p><img class='alignright' src='http://www.festivaldelgiornalismo.com/pictures/user/medium/1/1911_47UQW.jpg' alt='sylke' width='80%' height='80%'/></p>","Redaktion"
11.55409,48.14424,"br","<a href='http://www.br.de/extra/br-data/index.html'><span style='color: green; font-size:9pt'><strong>BR Data</strong></span></a><br>München<br>Leitung: Uli Koeppen<p><img class='alignright' src='http://blog.br.de/abi2011/wp-content/themes/abi2011/data/ulrike-koeppen_200.jpg' alt='uli' width='90%' height='90%'/></p>","Redaktion"
13.39804,52.50762,"mopo","<a href='http://www.morgenpost.de/interaktiv/'><span style='color: green; font-size:9pt'><strong>Interaktiv-Team MoPo</strong></span></a><br>Berlin<br>Leitung: Julius Tröger<p><img class='alignright' src='https://pbs.twimg.com/profile_images/548995319434723330/ZdqKy8ug.jpeg' alt='julius' width='80%' height='80%'/></p>","Redaktion"
13.38103,52.50519,"zeit","<a href='http://www.zeit.de/datenjournalismus'><span style='color: green; font-size:9pt'><strong>Datenredaktion Zeit online</strong></span></a><br>Berlin<br>Leitung: Sascha Venohr<p><img class='alignright' src='http://community.zeit.de/sites/default/files/pictures/picture-211790-1446728989.jpg' alt='sascha' width='70%' height='70%'/></p>","Redaktion"
10.004017,53.545762,"spon","<a href='http://www.spiegel.de/thema/daten/'><span style='color: green; font-size:9pt'><strong>Spiegel Online Datenlese</strong></span></a><br>Hamburg<br>Leitung: Christina Elmer<p><img class='alignright' src='http://onmedia.dw-akademie.com/english/files/IMG_0340.jpg' alt='christina' width='70%' height='70%'/></p>","Redaktion"
8.547561,47.364939,"nzz","<a href='http://www.nzz.ch/data/'><span style='color: green; font-size:9pt'><strong>NZZ Data</strong></span></a><br>Zürich<br>Leitung: Sylke Gruhnwald (?)<p><img class='alignright' src='http://www.lpr-forum-medienzukunft.de/files/gruhnwald_sylke_huenerfauth_klein.png' alt='sylke' width='60%' height='60%'/></p>","Redaktion"
7.417798,51.494564,"tu","<a href='http://www.wissenschaftsjournalismus.org/ba-zweitfach-datenanalyse.html'><span style='color: green; font-size:9pt'><strong>Studiengang ddj</strong></span></a> <br> Dortmund
            <br>Leitung: Holger Wormer<br><p><img class='alignright' src='http://journalistik.tu-dortmund.de/fileadmin/Bilder/Mitarbeiter/wormer.jpg'
            alt='holger' width='80%' height='80%' /></p>","Ausbildung"
7.417445,51.494049,"journo","<a href='http://journocode.com/'><span style='color: green; font-size:9pt'><strong>journocode</strong></span></a> <br> Dortmund","Meetup"
9.993682,53.551085,"ok","<a href='http://codefor.de/hamburg/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Hamburg","Meetup"
13.382337,52.498534,"ok","<a href='http://codefor.de/berlin/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Berlin","Meetup"
11.629084,52.11952,"ok","<a href='http://codefor.de/magdeburg/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Magdeburg","Meetup"
7.630538,51.964971,"ok","<a href='http://codefor.de/muenster/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Münster","Meetup"
6.748874,51.569299,"ok","<a href='http://codefor.de/ruhrgebiet/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Ruhrgebiet","Meetup"
6.638324,51.481628,"ok","<a href='http://codefor.de/niederrhein/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Niederrhein","Meetup"
6.773096,51.227698,"ok","<a href='http://codefor.de/duesseldorf/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Düsseldorf","Meetup"
7.144582,51.26642,"ok","<a href='http://codefor.de/wuppertal/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Wuppertal","Meetup"
6.900711,50.960162,"ok","<a href='http://codefor.de/koeln/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Köln","Meetup"
7.094403,50.73741,"ok","<a href='http://codefor.de/bonn/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Bonn","Meetup"
8.690906,50.587295,"ok","<a href='http://codefor.de/giessen/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Gießen","Meetup"
9.479753,51.312384,"ok","<a href='http://codefor.de/kassel/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Kassel","Meetup"
11.576037,50.922167,"ok","<a href='http://codefor.de/jena/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Jena","Meetup"
12.379037,51.331725,"ok","<a href='http://codefor.de/leipzig/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Leipzig","Meetup"
8.681832,50.116395,"ok","<a href='http://codefor.de/frankfurt/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Frankfurt","Meetup"
13.747688,51.046866,"ok","<a href='http://codefor.de/dresden/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Dresden","Meetup"
12.940579,50.829905,"ok","<a href='http://codefor.de/chemnitz/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Chemnitz","Meetup"
11.01169,49.590018,"ok","<a href='http://codefor.de/erlangen/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Erlangen","Meetup"
9.22736,49.134316,"ok","<a href='http://codefor.de/heilbronn/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Heilbronn","Meetup"
9.173458,48.776427,"ok","<a href='http://codefor.de/stuttgart/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Stuttgart","Meetup"
9.954148,48.424874,"ok","<a href='http://codefor.de/ulm/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Ulm","Meetup"
8.405627,49.006257,"ok","<a href='http://codefor.de/karlsruhe/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Karlsruhe","Meetup"
11.568393,48.144718,"ok","<a href='http://codefor.de/muenchen/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> München","Meetup"
7.850041,47.983412,"ok","<a href='http://codefor.de/freiburg/'><span style='color: green; font-size:9pt'><strong>OK Lab</strong></span></a> <br> Freiburg","Meetup"
